buying,maint,doors,persons,lug_boot,safety,class
muy alto,muy alto,dos,dos,pequeño,bajo,inaceptable
muy alto,muy alto,dos,dos,pequeño,medio,inaceptable
muy alto,muy alto,dos,dos,pequeño,alto,inaceptable
muy alto,muy alto,dos,dos,medio,bajo,inaceptable
muy alto,muy alto,dos,dos,medio,medio,inaceptable
muy alto,muy alto,dos,dos,medio,alto,inaceptable
muy alto,muy alto,dos,dos,grande,bajo,inaceptable
muy alto,muy alto,dos,dos,grande,medio,inaceptable
muy alto,muy alto,dos,dos,grande,alto,inaceptable
muy alto,muy alto,dos,cuatro,pequeño,bajo,inaceptable
