buying,maint,doors,persons,lug_boot,safety,class
muy alto,muy alto,2,2,pequeño,bajo,unacc
muy alto,muy alto,2,2,pequeño,medio,unacc
muy alto,muy alto,2,2,pequeño,alto,unacc
muy alto,muy alto,2,2,medio,bajo,unacc
muy alto,muy alto,2,2,medio,medio,unacc
muy alto,muy alto,2,2,medio,alto,unacc
muy alto,muy alto,2,2,grande,bajo,unacc
muy alto,muy alto,2,2,grande,medio,unacc
muy alto,muy alto,2,2,grande,alto,unacc
muy alto,muy alto,2,4,pequeño,bajo,unacc
muy alto,muy alto,2,4,pequeño,medio,unacc
muy alto,muy alto,2,4,pequeño,alto,unacc
muy alto,muy alto,2,4,medio,bajo,unacc
muy alto,muy alto,2,4,medio,medio,unacc
muy alto,muy alto,2,4,medio,alto,unacc
muy alto,muy alto,2,4,grande,bajo,unacc
muy alto,muy alto,2,4,grande,medio,unacc
muy alto,muy alto,2,4,grande,alto,unacc
muy alto,muy alto,2,more,pequeño,bajo,unacc
muy alto,muy alto,2,more,pequeño,medio,unacc
muy alto,muy alto,2,more,pequeño,alto,unacc
muy alto,muy alto,2,more,medio,bajo,unacc
muy alto,muy alto,2,more,medio,medio,unacc
muy alto,muy alto,2,more,medio,alto,unacc
muy alto,muy alto,2,more,grande,bajo,unacc
muy alto,muy alto,2,more,grande,medio,unacc
muy alto,muy alto,2,more,grande,alto,unacc
muy alto,muy alto,3,2,pequeño,bajo,unacc
muy alto,muy alto,3,2,pequeño,medio,unacc
muy alto,muy alto,3,2,pequeño,alto,unacc
muy alto,muy alto,3,2,medio,bajo,unacc
muy alto,muy alto,3,2,medio,medio,unacc
muy alto,muy alto,3,2,medio,alto,unacc
muy alto,muy alto,3,2,grande,bajo,unacc
muy alto,muy alto,3,2,grande,medio,unacc
muy alto,muy alto,3,2,grande,alto,unacc
muy alto,muy alto,3,4,pequeño,bajo,unacc
muy alto,muy alto,3,4,pequeño,medio,unacc
muy alto,muy alto,3,4,pequeño,alto,unacc
muy alto,muy alto,3,4,medio,bajo,unacc
muy alto,muy alto,3,4,medio,medio,unacc
muy alto,muy alto,3,4,medio,alto,unacc
muy alto,muy alto,3,4,grande,bajo,unacc
muy alto,muy alto,3,4,grande,medio,unacc
muy alto,muy alto,3,4,grande,alto,unacc
muy alto,muy alto,3,more,pequeño,bajo,unacc
muy alto,muy alto,3,more,pequeño,medio,unacc
muy alto,muy alto,3,more,pequeño,alto,unacc
muy alto,muy alto,3,more,medio,bajo,unacc
muy alto,muy alto,3,more,medio,medio,unacc
muy alto,muy alto,3,more,medio,alto,unacc
muy alto,muy alto,3,more,grande,bajo,unacc
muy alto,muy alto,3,more,grande,medio,unacc
muy alto,muy alto,3,more,grande,alto,unacc
muy alto,muy alto,4,2,pequeño,bajo,unacc
muy alto,muy alto,4,2,pequeño,medio,unacc
muy alto,muy alto,4,2,pequeño,alto,unacc
muy alto,muy alto,4,2,medio,bajo,unacc
muy alto,muy alto,4,2,medio,medio,unacc
muy alto,muy alto,4,2,medio,alto,unacc
muy alto,muy alto,4,2,grande,bajo,unacc
muy alto,muy alto,4,2,grande,medio,unacc
muy alto,muy alto,4,2,grande,alto,unacc
muy alto,muy alto,4,4,pequeño,bajo,unacc
muy alto,muy alto,4,4,pequeño,medio,unacc
muy alto,muy alto,4,4,pequeño,alto,unacc
muy alto,muy alto,4,4,medio,bajo,unacc
muy alto,muy alto,4,4,medio,medio,unacc
muy alto,muy alto,4,4,medio,alto,unacc
muy alto,muy alto,4,4,grande,bajo,unacc
muy alto,muy alto,4,4,grande,medio,unacc
muy alto,muy alto,4,4,grande,alto,unacc
muy alto,muy alto,4,more,pequeño,bajo,unacc
muy alto,muy alto,4,more,pequeño,medio,unacc
muy alto,muy alto,4,more,pequeño,alto,unacc
muy alto,muy alto,4,more,medio,bajo,unacc
muy alto,muy alto,4,more,medio,medio,unacc
muy alto,muy alto,4,more,medio,alto,unacc
muy alto,muy alto,4,more,grande,bajo,unacc
muy alto,muy alto,4,more,grande,medio,unacc
muy alto,muy alto,4,more,grande,alto,unacc
muy alto,muy alto,5more,2,pequeño,bajo,unacc
muy alto,muy alto,5more,2,pequeño,medio,unacc
muy alto,muy alto,5more,2,pequeño,alto,unacc
muy alto,muy alto,5more,2,medio,bajo,unacc
muy alto,muy alto,5more,2,medio,medio,unacc
muy alto,muy alto,5more,2,medio,alto,unacc
muy alto,muy alto,5more,2,grande,bajo,unacc
muy alto,muy alto,5more,2,grande,medio,unacc
muy alto,muy alto,5more,2,grande,alto,unacc
muy alto,muy alto,5more,4,pequeño,bajo,unacc
muy alto,muy alto,5more,4,pequeño,medio,unacc
muy alto,muy alto,5more,4,pequeño,alto,unacc
muy alto,muy alto,5more,4,medio,bajo,unacc
muy alto,muy alto,5more,4,medio,medio,unacc
muy alto,muy alto,5more,4,medio,alto,unacc
muy alto,muy alto,5more,4,grande,bajo,unacc
muy alto,muy alto,5more,4,grande,medio,unacc
muy alto,muy alto,5more,4,grande,alto,unacc
muy alto,muy alto,5more,more,pequeño,bajo,unacc
muy alto,muy alto,5more,more,pequeño,medio,unacc
muy alto,muy alto,5more,more,pequeño,alto,unacc
muy alto,muy alto,5more,more,medio,bajo,unacc
muy alto,muy alto,5more,more,medio,medio,unacc
muy alto,muy alto,5more,more,medio,alto,unacc
muy alto,muy alto,5more,more,grande,bajo,unacc
muy alto,muy alto,5more,more,grande,medio,unacc
muy alto,muy alto,5more,more,grande,alto,unacc
muy alto,alto,2,2,pequeño,bajo,unacc
muy alto,alto,2,2,pequeño,medio,unacc
muy alto,alto,2,2,pequeño,alto,unacc
